DIRECTION,FY,NAME,COMMODITY,AMOUNT
Exports,FY2006,Afghanistan,112 Alcoholic beverages,15
Exports,FY2006,American Samoa,112 Alcoholic beverages,75
Exports,FY2006,Angola,112 Alcoholic beverages,27
Exports,FY2006,Antarctica,112 Alcoholic beverages,453
Exports,FY2006,Argentina,112 Alcoholic beverages,26
Exports,FY2006,Austria,112 Alcoholic beverages,2958
Exports,FY2006,Azerbaijan,112 Alcoholic beverages,7
Exports,FY2006,Bahamas,112 Alcoholic beverages,119
Exports,FY2006,Bahrain,112 Alcoholic beverages,822
Exports,FY2006,Bangladesh,112 Alcoholic beverages,164
Exports,FY2006,Barbados,112 Alcoholic beverages,248
Exports,FY2006,Belarus,112 Alcoholic beverages,52
Exports,FY2006,Belgium,112 Alcoholic beverages,36710
Exports,FY2006,Belize,112 Alcoholic beverages,39
Exports,FY2006,Bermuda,112 Alcoholic beverages,653
Exports,FY2006,Brazil,112 Alcoholic beverages,1303
Exports,FY2006,Brunei,112 Alcoholic beverages,83
Exports,FY2006,Burma (Rep of the Union of Myanmar),112 Alcoholic beverages,127
Exports,FY2006,Cambodia,112 Alcoholic beverages,412
Exports,FY2006,Canada,112 Alcoholic beverages,245618
Exports,FY2006,Cayman Islands,112 Alcoholic beverages,27
Exports,FY2006,Chile,112 Alcoholic beverages,6
Exports,FY2006,China,112 Alcoholic beverages,23676
Exports,FY2006,Colombia,112 Alcoholic beverages,19
Exports,FY2006,Cook Islands,112 Alcoholic beverages,851
Exports,FY2006,Costa Rica,112 Alcoholic beverages,175
Exports,FY2006,Croatia,112 Alcoholic beverages,37
Exports,FY2006,Cyprus,112 Alcoholic beverages,21
Exports,FY2006,Czech Republic,112 Alcoholic beverages,943
Exports,FY2006,Denmark,112 Alcoholic beverages,52209
Exports,FY2006,Dominica,112 Alcoholic beverages,58
Exports,FY2006,Dominican Republic,112 Alcoholic beverages,64
Exports,FY2006,East Timor,112 Alcoholic beverages,323
Exports,FY2006,Egypt,112 Alcoholic beverages,7
Exports,FY2006,Estonia,112 Alcoholic beverages,840
Exports,FY2006,Federated States of Micronesia,112 Alcoholic beverages,64
Exports,FY2006,Fiji,112 Alcoholic beverages,7506
Exports,FY2006,Finland,112 Alcoholic beverages,12069
Exports,FY2006,France,112 Alcoholic beverages,16333
Exports,FY2006,French Polynesia,112 Alcoholic beverages,268
Exports,FY2006,Gambia,112 Alcoholic beverages,7
Exports,FY2006,Georgia,112 Alcoholic beverages,5
Exports,FY2006,Germany,112 Alcoholic beverages,63868
Exports,FY2006,Ghana,112 Alcoholic beverages,139
Exports,FY2006,Gibraltar,112 Alcoholic beverages,44
Exports,FY2006,Greece,112 Alcoholic beverages,100
Exports,FY2006,Guam,112 Alcoholic beverages,237
Exports,FY2006,Hong Kong (SAR of China),112 Alcoholic beverages,26700
Exports,FY2006,Hungary,112 Alcoholic beverages,8
Exports,FY2006,Iceland,112 Alcoholic beverages,2428
Exports,FY2006,India,112 Alcoholic beverages,1876
Exports,FY2006,Indonesia,112 Alcoholic beverages,4127
Exports,FY2006,Iran,112 Alcoholic beverages,361
Exports,FY2006,Ireland,112 Alcoholic beverages,56349
Exports,FY2006,Israel,112 Alcoholic beverages,604
Exports,FY2006,Italy,112 Alcoholic beverages,2880
Exports,FY2006,Jamaica,112 Alcoholic beverages,669
Exports,FY2006,Japan,112 Alcoholic beverages,46019
Exports,FY2006,Jordan,112 Alcoholic beverages,32
Exports,FY2006,Kenya,112 Alcoholic beverages,78
Exports,FY2006,Kiribati,112 Alcoholic beverages,62
Exports,FY2006,Laos,112 Alcoholic beverages,936
Exports,FY2006,Latvia,112 Alcoholic beverages,2322
Exports,FY2006,Lebanon,112 Alcoholic beverages,14
Exports,FY2006,Luxembourg,112 Alcoholic beverages,7
Exports,FY2006,Macau (SAR of China),112 Alcoholic beverages,203
Exports,FY2006,Malawi,112 Alcoholic beverages,15
Exports,FY2006,Malaysia,112 Alcoholic beverages,19248
Exports,FY2006,Maldives,112 Alcoholic beverages,602
Exports,FY2006,Mali,112 Alcoholic beverages,0
Exports,FY2006,Malta,112 Alcoholic beverages,109
Exports,FY2006,Marshall Islands,112 Alcoholic beverages,50
Exports,FY2006,Mauritius,112 Alcoholic beverages,325
Exports,FY2006,Mexico,112 Alcoholic beverages,1858
Exports,FY2006,Moldova,112 Alcoholic beverages,7
Exports,FY2006,Mongolia,112 Alcoholic beverages,70
Exports,FY2006,Morocco,112 Alcoholic beverages,30
Exports,FY2006,Nauru,112 Alcoholic beverages,44
Exports,FY2006,Nepal,112 Alcoholic beverages,284
Exports,FY2006,Netherlands,112 Alcoholic beverages,69558
Exports,FY2006,New Caledonia,112 Alcoholic beverages,752
Exports,FY2006,New Zealand,112 Alcoholic beverages,111897
Exports,FY2006,Nicaragua,112 Alcoholic beverages,490
Exports,FY2006,Niger,112 Alcoholic beverages,283
Exports,FY2006,Nigeria,112 Alcoholic beverages,310
Exports,FY2006,Niue,112 Alcoholic beverages,15
Exports,FY2006,Norfolk Island,112 Alcoholic beverages,698
Exports,FY2006,Norway,112 Alcoholic beverages,14234
Exports,FY2006,Oman,112 Alcoholic beverages,368
Exports,FY2006,Pakistan,112 Alcoholic beverages,57
Exports,FY2006,Palau,112 Alcoholic beverages,78
Exports,FY2006,Panama,112 Alcoholic beverages,444
Exports,FY2006,Papua New Guinea,112 Alcoholic beverages,2739
Exports,FY2006,Peru,112 Alcoholic beverages,64
Exports,FY2006,Philippines,112 Alcoholic beverages,3230
Exports,FY2006,Poland,112 Alcoholic beverages,2347
Exports,FY2006,Portugal,112 Alcoholic beverages,3
Exports,FY2006,Puerto Rico,112 Alcoholic beverages,467
Exports,FY2006,Qatar,112 Alcoholic beverages,726
Exports,FY2006,Republic of Korea,112 Alcoholic beverages,9599
Exports,FY2006,Romania,112 Alcoholic beverages,20
Exports,FY2006,Russian Federation,112 Alcoholic beverages,1999
Exports,FY2006,Samoa,112 Alcoholic beverages,301
Exports,FY2006,Saudi Arabia,112 Alcoholic beverages,28
Exports,FY2006,Senegal,112 Alcoholic beverages,53
Exports,FY2006,Serbia & Montenegro,112 Alcoholic beverages,9
Exports,FY2006,Seychelles,112 Alcoholic beverages,98
Exports,FY2006,Singapore,112 Alcoholic beverages,43318
Exports,FY2006,Slovak Republic,112 Alcoholic beverages,14
Exports,FY2006,Slovenia,112 Alcoholic beverages,66
Exports,FY2006,Solomon Islands,112 Alcoholic beverages,424
Exports,FY2006,South Africa,112 Alcoholic beverages,3231
Exports,FY2006,Spain,112 Alcoholic beverages,1287
Exports,FY2006,Sri Lanka,112 Alcoholic beverages,1219
Exports,FY2006,Sweden,112 Alcoholic beverages,42701
Exports,FY2006,Switzerland,112 Alcoholic beverages,7530
Exports,FY2006,Taiwan,112 Alcoholic beverages,12548
Exports,FY2006,Thailand,112 Alcoholic beverages,8062
Exports,FY2006,Tonga,112 Alcoholic beverages,143
Exports,FY2006,Trinidad & Tobago,112 Alcoholic beverages,230
Exports,FY2006,Turkey,112 Alcoholic beverages,100
Exports,FY2006,Tuvalu,112 Alcoholic beverages,5
Exports,FY2006,Uganda,112 Alcoholic beverages,82
Exports,FY2006,Ukraine,112 Alcoholic beverages,73
Exports,FY2006,United Arab Emirates,112 Alcoholic beverages,9247
Exports,FY2006,United Kingdom,112 Alcoholic beverages,946186
Exports,FY2006,United States,112 Alcoholic beverages,865245
Exports,FY2006,Uruguay,112 Alcoholic beverages,40
Exports,FY2006,Vanuatu,112 Alcoholic beverages,1727
Exports,FY2006,Vietnam,112 Alcoholic beverages,3380
Exports,FY2006,Zimbabwe,112 Alcoholic beverages,41
Exports,FY2007,American Samoa,112 Alcoholic beverages,113
Exports,FY2007,Antarctica,112 Alcoholic beverages,539
Exports,FY2007,Argentina,112 Alcoholic beverages,39
Exports,FY2007,Austria,112 Alcoholic beverages,1212
Exports,FY2007,Azerbaijan,112 Alcoholic beverages,4
Exports,FY2007,Bahamas,112 Alcoholic beverages,155
Exports,FY2007,Bahrain,112 Alcoholic beverages,913
Exports,FY2007,Bangladesh,112 Alcoholic beverages,335
Exports,FY2007,Barbados,112 Alcoholic beverages,339
Exports,FY2007,Belarus,112 Alcoholic beverages,108
Exports,FY2007,Belgium,112 Alcoholic beverages,43085
Exports,FY2007,Belize,112 Alcoholic beverages,32
Exports,FY2007,Bermuda,112 Alcoholic beverages,705
Exports,FY2007,Bosnia-Herzegovina,112 Alcoholic beverages,8
Exports,FY2007,Brazil,112 Alcoholic beverages,1745
Exports,FY2007,Brunei,112 Alcoholic beverages,84
Exports,FY2007,Burma (Rep of the Union of Myanmar),112 Alcoholic beverages,124
Exports,FY2007,Cambodia,112 Alcoholic beverages,491
Exports,FY2007,Canada,112 Alcoholic beverages,254889
Exports,FY2007,Cayman Islands,112 Alcoholic beverages,93
Exports,FY2007,Chile,112 Alcoholic beverages,9
Exports,FY2007,China,112 Alcoholic beverages,50085
Exports,FY2007,Colombia,112 Alcoholic beverages,67
Exports,FY2007,Cook Islands,112 Alcoholic beverages,637
Exports,FY2007,Costa Rica,112 Alcoholic beverages,75
Exports,FY2007,Croatia,112 Alcoholic beverages,121
Exports,FY2007,Cuba,112 Alcoholic beverages,55
Exports,FY2007,Cyprus,112 Alcoholic beverages,86
Exports,FY2007,Czech Republic,112 Alcoholic beverages,1088
Exports,FY2007,Denmark,112 Alcoholic beverages,51510
Exports,FY2007,Djibouti,112 Alcoholic beverages,19
Exports,FY2007,East Timor,112 Alcoholic beverages,845
Exports,FY2007,Egypt,112 Alcoholic beverages,9
Exports,FY2007,El Salvador,112 Alcoholic beverages,29
Exports,FY2007,Estonia,112 Alcoholic beverages,548
Exports,FY2007,Falkland Islands,112 Alcoholic beverages,61
Exports,FY2007,Federated States of Micronesia,112 Alcoholic beverages,36
Exports,FY2007,Fiji,112 Alcoholic beverages,7386
Exports,FY2007,Finland,112 Alcoholic beverages,16959
Exports,FY2007,France,112 Alcoholic beverages,15591
Exports,FY2007,French Polynesia,112 Alcoholic beverages,114
Exports,FY2007,Georgia,112 Alcoholic beverages,20
Exports,FY2007,Germany,112 Alcoholic beverages,44388
Exports,FY2007,Ghana,112 Alcoholic beverages,126
Exports,FY2007,Greece,112 Alcoholic beverages,42
Exports,FY2007,Guam,112 Alcoholic beverages,205
Exports,FY2007,Hong Kong (SAR of China),112 Alcoholic beverages,31108
Exports,FY2007,Iceland,112 Alcoholic beverages,2510
Exports,FY2007,India,112 Alcoholic beverages,3287
Exports,FY2007,Indonesia,112 Alcoholic beverages,4431
Exports,FY2007,Iran,112 Alcoholic beverages,440
Exports,FY2007,Iraq,112 Alcoholic beverages,136
Exports,FY2007,Ireland,112 Alcoholic beverages,65155
Exports,FY2007,Israel,112 Alcoholic beverages,976
Exports,FY2007,Italy,112 Alcoholic beverages,2016
Exports,FY2007,Jamaica,112 Alcoholic beverages,1080
Exports,FY2007,Japan,112 Alcoholic beverages,51239
Exports,FY2007,Jordan,112 Alcoholic beverages,18
