geounit,amount2006,amount2007,amount2008,amount2009,amount2010,amount2011
Afghanistan,0,0,0,0,0,0
Albania,0,0,0,0,0,0
Algeria,85530,66142,60417,24119,0,0
American Samoa,0,0,0,0,0,0
Angola,0,0,0,0,0,0
Anguilla,0,0,0,0,0,0
Antarctica,0,0,0,0,0,0
Antigua & Barbuda,0,0,0,0,0,0
Argentina,134943,83980,69100,107018,133836,152165
Armenia,0,0,0,0,0,0
Australia,0,0,0,0,0,0
Austria,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0
Barbados,0,0,0,0,0,0
Belarus,0,0,0,0,0,0
Belgium,309195,234711,342782,495828,192045,305744
Belize,0,0,0,0,0,0
Benin,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0
Bosnia-Herzegovina,0,0,0,0,0,0
Botswana,0,0,0,0,0,0
Brazil,507855,409402,438777,1137010,806251,689369
British Indian Ocean Territory,0,0,0,0,0,0
Brunei,0,0,0,0,0,0
Bulgaria,34760,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0
Burma (Rep of the Union of Myanmar),0,0,0,0,0,0
Burundi,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0
Cameroon,0,0,0,0,30,0
Canada,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0
Chad,0,0,0,0,0,0
Chile,107294,123720,85408,140332,73026,152069
China,588717,506947,235643,3148968,5069165,4484357
Christmas Island,0,0,0,0,0,0
Cocos Keeling Islands,0,0,0,0,0,0
Colombia,0,0,0,0,0,0
Comoros,0,0,0,0,0,0
Confidential (Alumina Special Case),0,0,0,0,0,0
Cook Islands,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0,0
Croatia,0,12871,0,11069,22597,14960
Cuba,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0
Democratic People's Republic of Korea,0,0,0,0,0,0
Democratic Republic of the Congo,0,0,0,0,0,0
Denmark,16164,14001,0,19852,0,0
Djibouti,0,0,0,0,0,0
Dominica,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0
East Timor,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0
Egypt,17725,68112,49053,37187,57003,28
El Salvador,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0
Estonia,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0
FYR Macedonia,0,0,0,0,0,0
Falkland Islands,0,0,0,0,0,0
Federated States of Micronesia,0,0,0,0,0,0
Fiji,0,0,0,0,0,0
Finland,61087,37012,43620,113108,13364,21321
France,537047,478744,419665,695514,589978,616196
French Antilles,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0
French Polynesia,0,0,0,0,0,0
Gabon,0,0,0,0,0,0
Gambia,0,0,0,0,0,0
Georgia,0,0,0,0,0,0
Germany,293488,308326,226826,539121,193410,297768
Ghana,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,0
Greece,0,0,11868,0,0,0
Grenada,0,0,0,0,0,0
Guam,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0
Guinea,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0
Guyana,0,0,0,0,0,0
Haiti,0,0,0,0,0,0
Honduras,0,0,0,0,0,0
Hong Kong (SAR of China),3436,721,0,91829,69105,58037
Hungary,0,0,0,0,0,0
Iceland,0,0,0,0,0,0
India,2540783,2482593,2714216,6677350,5532267,7122856
Indonesia,0,0,0,5,7,45
International Waters,0,0,0,0,0,0
Iran,56237,56866,46017,10990,0,0
Iraq,0,0,0,0,0,0
Ireland,0,22817,67467,0,0,0
Israel,45817,52731,42656,137342,59722,57431
Italy,369314,314997,301632,545199,299092,417317
Jamaica,0,0,0,0,0,0
Japan,10101971,9113266,10983603,23558735,12945137,15447495
Jordan,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0
Kenya,0,0,0,0,0,0
Kiribati,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0
Laos,0,0,0,0,0,0
Latvia,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0
Liberia,0,0,0,0,0,0
Libya,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0
Macau (SAR of China),0,0,0,0,0,0
Madagascar,0,0,0,0,0,0
Malawi,0,0,0,0,0,0
Malaysia,175817,200011,174728,413093,143809,314959
Maldives,0,0,0,0,0,0
Mali,0,0,0,0,0,0
Malta,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0
Mexico,504565,382809,139780,441504,378421,284750
Moldova,0,0,0,0,0,0
Mongolia,0,0,0,0,0,4
Montenegro,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0
Morocco,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0
Namibia,0,0,0,0,0,0
Nauru,0,0,0,0,0,0
Nepal,0,0,0,0,0,0
Netherlands,1041852,932540,791105,1409383,662794,951497
Netherlands Antilles,0,0,0,0,0,0
New Caledonia,13815,14924,21817,36752,37897,59020
New Zealand,4846,5222,4701,13169,6108,6384
Nicaragua,0,0,0,0,0,0
Niger,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0
Niue,0,0,0,0,0,0
No Country Details,809667,871332,1006783,1136820,555425,671303
Norfolk Island,0,0,0,0,0,0
Northern Marianas,0,0,0,0,0,0
Norway,0,0,0,0,0,0
Oman,0,0,0,0,32,435
Pakistan,23057,42622,58335,172092,42325,49459
Palau,0,0,0,0,0,0
Panama,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0
Peru,0,0,0,0,0,0
Philippines,57001,33085,61267,11268,13,31824
Pitcairn Island,0,0,0,0,0,0
Poland,0,0,0,0,0,0
Portugal,0,0,0,0,0,0
Puerto Rico,0,5385,0,0,0,0
Qatar,0,0,0,0,0,1167
Republic of Congo,0,0,0,0,0,0
Republic of Korea,2455371,1710657,2366759,6992425,4311150,5960019
Reunion,0,0,0,0,0,0
Romania,10985,38525,54434,64597,0,0
Russian Federation,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0
Samoa,0,0,0,0,0,0
Sao Tome & Principe,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0
Senegal,0,0,0,0,0,0
Serbia,0,0,0,0,0,0
Serbia & Montenegro,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0
Ships Stores,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0
Singapore,0,0,0,8,51,31
Slovak Republic,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0
Somalia,0,0,0,0,0,0
South Africa,248071,205625,146569,461657,317468,249890
Spain,391922,361032,407488,304215,173619,396236
Sri Lanka,0,0,0,0,0,0
St Helena,0,0,0,0,0,0
St Kitts & Nevis,0,0,0,0,0,0
St Lucia,0,0,0,0,0,0
St Pierre & Miquelon,0,0,0,0,0,0
St Vincent & Grenadines,0,0,0,0,0,0
Sudan,0,0,0,0,0,0
Suriname,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0
Sweden,187922,182660,240386,358106,283628,346134
Switzerland,0,0,0,0,0,0
Syria,0,0,0,0,0,0
Taiwan,1704614,1589464,1951409,3443768,2597092,3517337
Tajikistan,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0
Thailand,51258,191587,115056,273303,150426,188597
Togo,0,0,0,0,0,0
Tonga,0,0,0,0,0,0
Trinidad & Tobago,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0
Turkey,157137,171332,265484,597537,144992,130932
Turkmenistan,0,0,0,0,0,0
Turks & Caicos Islands,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0
UK Virgin Islands,0,0,0,0,0,0
US Outlying Islands,0,0,0,0,0,0
US Virgin Islands,0,0,0,0,0,0
Uganda,0,0,0,0,0,0
Ukraine,0,0,0,31906,0,0
United Arab Emirates,0,0,0,0,0,0
United Kingdom,624115,513690,467226,1032126,493968,796699
United States,14186,2784,4006,19010,11540,20570
Unknown,0,0,0,0,0,0
Uruguay,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0
